2.515968382358551025e-01,-3.873301669955253601e-02,1.674675643444061279e-01,7.980775237083435059e-01,-4.038684070110321045e-03,2.600576961413025856e-03,1.916277594864368439e-02
2.516088187694549561e-01,-3.874500095844268799e-02,1.674675643444061279e-01,7.980775237083435059e-01,-4.038684070110321045e-03,2.600576961413025856e-03,1.916277594864368439e-02
2.516207993030548096e-01,-3.873301669955253601e-02,1.674555838108062744e-01,7.980775237083435059e-01,-4.038684070110321045e-03,2.600576961413025856e-03,1.915079168975353241e-02
2.516207993030548096e-01,-3.874500095844268799e-02,1.674795448780059814e-01,7.980895042419433594e-01,-4.026699811220169067e-03,2.612560987472534180e-03,1.916277594864368439e-02
2.516207993030548096e-01,-3.874500095844268799e-02,1.674795448780059814e-01,7.980654835700988770e-01,-4.038684070110321045e-03,2.612560987472534180e-03,1.913880743086338043e-02
2.515968382358551025e-01,-3.874500095844268799e-02,1.674915254116058350e-01,7.980895042419433594e-01,-4.026699811220169067e-03,2.588592702522873878e-03,1.916277594864368439e-02
2.515968382358551025e-01,-3.872103244066238403e-02,1.674795448780059814e-01,7.982332706451416016e-01,-4.050668329000473022e-03,2.576608443632721901e-03,1.915079168975353241e-02
2.515968382358551025e-01,-3.872103244066238403e-02,1.674915254116058350e-01,7.982692718505859375e-01,-4.026699811220169067e-03,2.552639925852417946e-03,1.916277594864368439e-02
2.515608668327331543e-01,-3.873301669955253601e-02,1.674915254116058350e-01,7.984130382537841797e-01,-4.038684070110321045e-03,2.552639925852417946e-03,1.916277594864368439e-02
2.515369057655334473e-01,-3.868507966399192810e-02,1.674915254116058350e-01,7.985089421272277832e-01,-4.026699811220169067e-03,2.564624184742569923e-03,1.915079168975353241e-02
2.514769732952117920e-01,-3.868507966399192810e-02,1.674915254116058350e-01,7.986527681350708008e-01,-4.038684070110321045e-03,2.480734605342149734e-03,1.915079168975353241e-02
2.513571381568908691e-01,-3.866111114621162415e-02,1.674915254116058350e-01,7.988684773445129395e-01,-4.038684070110321045e-03,2.516687382012605667e-03,1.917476020753383636e-02
2.511054575443267822e-01,-3.866111114621162415e-02,1.674675643444061279e-01,7.994197010993957520e-01,-4.062652587890625000e-03,2.420813543722033501e-03,1.913880743086338043e-02
2.509976029396057129e-01,-3.863714262843132019e-02,1.674915254116058350e-01,7.998152375221252441e-01,-4.050668329000473022e-03,2.384860767051577568e-03,1.915079168975353241e-02
2.508058547973632812e-01,-3.860118985176086426e-02,1.674915254116058350e-01,8.004384040832519531e-01,-4.062652587890625000e-03,2.300971187651157379e-03,1.913880743086338043e-02
2.506141066551208496e-01,-3.857722133398056030e-02,1.674915254116058350e-01,8.010256290435791016e-01,-4.062652587890625000e-03,2.288986928761005402e-03,1.913880743086338043e-02
2.502306103706359863e-01,-3.854126855731010437e-02,1.674915254116058350e-01,8.019604086875915527e-01,-4.086620640009641647e-03,2.193113323301076889e-03,1.913880743086338043e-02
2.499190270900726318e-01,-3.848134726285934448e-02,1.674915254116058350e-01,8.028591871261596680e-01,-4.086620640009641647e-03,2.193113323301076889e-03,1.912682317197322845e-02
2.494636327028274536e-01,-3.843341022729873657e-02,1.674915254116058350e-01,8.040816187858581543e-01,-4.098604898899793625e-03,2.121207769960165024e-03,1.911483891308307648e-02
2.490082383155822754e-01,-3.831356763839721680e-02,1.674915254116058350e-01,8.051961064338684082e-01,-4.122573416680097580e-03,2.097239485010504723e-03,1.911483891308307648e-02
2.485048919916152954e-01,-3.826563060283660889e-02,1.674915254116058350e-01,8.063465952873229980e-01,-4.122573416680097580e-03,2.061286708340048790e-03,1.911483891308307648e-02
2.480375170707702637e-01,-3.806189820170402527e-02,1.674795448780059814e-01,8.076528906822204590e-01,-4.122573416680097580e-03,2.085255226120352745e-03,1.910285465419292450e-02
2.473424226045608521e-01,-3.794205561280250549e-02,1.674675643444061279e-01,8.092108368873596191e-01,-4.218447487801313400e-03,1.941444468684494495e-03,1.904293335974216461e-02
2.466353625059127808e-01,-3.770237416028976440e-02,1.674675643444061279e-01,8.109006285667419434e-01,-4.218447487801313400e-03,1.929460209794342518e-03,1.903094910085201263e-02
2.459522485733032227e-01,-3.761848434805870056e-02,1.674435883760452271e-01,8.126982450485229492e-01,-4.410194698721170425e-03,1.917476067319512367e-03,1.899499632418155670e-02
2.454848736524581909e-01,-3.727094084024429321e-02,1.674555838108062744e-01,8.142082691192626953e-01,-4.410194698721170425e-03,1.857554889284074306e-03,1.898301206529140472e-02
2.448257356882095337e-01,-3.695935010910034180e-02,1.674196273088455200e-01,8.161736726760864258e-01,-4.589958116412162781e-03,1.701759989373385906e-03,1.881523430347442627e-02
2.437591403722763062e-01,-3.633617237210273743e-02,1.674076467752456665e-01,8.184506893157958984e-01,-4.661863669753074646e-03,1.581917749717831612e-03,1.879126578569412231e-02
2.423330247402191162e-01,-3.582084923982620239e-02,1.673597097396850586e-01,8.215665817260742188e-01,-4.877579864114522934e-03,1.521996571682393551e-03,1.873134449124336243e-02
2.409068942070007324e-01,-3.513775020837783813e-02,1.673477143049240112e-01,8.241671323776245117e-01,-4.901547916233539581e-03,1.498028170317411423e-03,1.871936023235321045e-02
2.395167201757431030e-01,-3.457449004054069519e-02,1.673237532377243042e-01,8.264561295509338379e-01,-4.913532175123691559e-03,1.521996571682393551e-03,1.867142319679260254e-02
2.382703721523284912e-01,-3.378353267908096313e-02,1.672997772693634033e-01,8.288289904594421387e-01,-4.949484951794147491e-03,1.462075510062277317e-03,1.867142319679260254e-02
